"","song.id","bird.id","location","dialect","region","year","distance","duration","bg.OBCZ2000","bg.OBCZ2500","bg.OBCZ3150","bg.OBCZ4000","bg.OBCZ5000","bg.OBCZ6300","bg.OBCZ8000","ambient.LAeq","SENEL.total","SENEL.song","SEL.LZeq","song.bands.OBCZ2000","song.bands.OBCZ2500","song.bands.OBCZ3150","song.bands.OBCZ4000","song.bands.OBCZ5000","song.bands.OBCZ6300","song.bands.OBCZ8000","song.bands.OBCZ2000.SNR","song.bands.OBCZ2500.SNR","song.bands.OBCZ3150.SNR","song.bands.OBCZ4000.SNR","song.bands.OBCZ5000.SNR","song.bands.OBCZ6300.SNR","song.bands.OBCZ8000.SNR"
"PR__ABLA.048_00750","PR__ABLA.048_00750","COMW10_20","COMW","Commonweal","Rural","Y2020",20,2.1,20.572,17.037,15.179,14.616,12.781,12.362,9.793,NA,53.607,52.67,78.691,47.653,49.559,65.439,73.936,67.671,58.004,41.657,23.859,29.299,47.038,56.097,51.668,42.42,28.642
"PR__ABLA.048_01850","PR__ABLA.048_01850","COMW10_20","COMW","Commonweal","Rural","Y2020",20,2.28,22.538,21.952,20.789,21.106,23.088,26.552,24.697,45.29,53.452,52.461,78.481,37.977,38.029,60.333,73.873,66.997,51.764,-32.879,11.859,12.498,35.964,49.188,40.33,21.632,-61.155
"PR__ABLA.048_03300","PR__ABLA.048_03300","COMW10_20","COMW","Commonweal","Rural","Y2020",20,2.18,20.572,17.037,15.179,14.616,12.781,12.362,9.793,38.004,54.026,53.092,79.113,-35.179,49.767,64.974,74.365,67.554,59.001,39.699,-59.136,29.345,46.41,56.364,51.389,43.254,26.521
"PR__ABLA.048_04500","PR__ABLA.048_04500","COMW10_20","COMW","Commonweal","Rural","Y2020",20,2.08,20.572,17.037,15.179,14.616,12.781,12.362,9.793,39.221,55.462,54.616,80.636,-35.179,55.013,65.393,75.16,72.327,61.59,41.419,-58.932,34.795,47.033,57.363,56.366,46.047,28.445
"PR__ABLA.048_05800","PR__ABLA.048_05800","COMW10_20","COMW","Commonweal","Rural","Y2020",20,2.12,20.572,17.037,15.179,14.616,12.781,12.362,9.793,37.318,53.629,52.706,78.727,-35.179,45.661,61.175,74.325,67.574,58.499,40.725,-59.015,25.361,42.733,56.445,51.531,42.873,27.668
"PR__COMW.004_06000","PR__COMW.004_06000","COMW4_20","COMW","Commonweal","Rural","Y2020",8,2.04,28.828,26.384,24.12,24.173,23.508,21.078,21.579,45.082,65.021,64.13,82.192,42.247,46.844,69.287,76.947,73.297,59.911,31.993,10.322,17.364,42.071,49.679,46.693,35.737,7.318
"PR__COMW.004_07650","PR__COMW.004_07650","COMW4_20","COMW","Commonweal","Rural","Y2020",8,2.06,28.828,26.384,24.12,24.173,23.508,21.078,21.579,44.029,65.782,64.862,82.924,38.066,47.446,69.87,78.076,72.839,60.201,35.064,6.099,17.923,42.611,50.765,46.192,35.984,10.347
"PR__COMW.004_09250","PR__COMW.004_09250","COMW4_20","COMW","Commonweal","Rural","Y2020",8,2.1,27.969,24.745,21.215,17.8,15.873,9.7,9.436,43.106,66.661,65.76,83.822,37.129,48.766,72.851,78.001,74.754,61.307,39.641,5.938,20.798,48.414,56.978,55.659,48.384,26.983
"PR__COMW.004_10600","PR__COMW.004_10600","COMW4_20","COMW","Commonweal","Rural","Y2020",8,2.08,27.969,24.745,21.215,17.8,15.873,9.7,9.436,42.994,65.632,64.761,82.823,-43.138,46.021,69.608,77.307,74.363,59.724,39.496,-74.287,18.096,45.212,56.326,55.31,46.843,26.88
"PR__COMW.004_12350","PR__COMW.004_12350","COMW4_20","COMW","Commonweal","Rural","Y2020",8,2.08,27.969,24.745,21.215,17.8,15.873,9.7,9.436,42.259,67.565,66.659,84.721,-43.138,49.213,72.414,79.485,75.263,61.089,39.229,-74.287,21.288,48.019,58.504,56.209,48.208,26.613
"PR__COMW.004_14150","PR__COMW.004_14150","COMW4_20","COMW","Commonweal","Rural","Y2020",8,2.08,27.969,24.745,21.215,17.8,15.873,9.7,9.436,42.063,65.748,64.875,82.937,-43.138,46.034,66.937,77.931,74.044,60.702,39.759,-74.287,18.108,42.541,56.95,54.99,47.821,27.143
"PR__COMW.004_15650","PR__COMW.004_15650","COMW4_20","COMW","Commonweal","Rural","Y2020",8,2.08,28.828,26.384,24.12,24.173,23.508,21.078,21.579,41.988,67.452,66.552,84.614,-43.138,45.556,73.254,78.951,75.652,61.155,36.772,-75.147,15.992,45.954,51.598,48.962,36.896,12.013
"PR__COMW.004_17550","PR__COMW.004_17550","COMW4_20","COMW","Commonweal","Rural","Y2020",8,2.08,28.828,26.384,24.12,24.173,23.508,21.078,21.579,43.738,66.97,66.1,84.162,-43.138,48.39,71.285,78.54,75.752,62.002,38.789,-75.147,18.825,43.984,51.187,49.063,37.744,14.029
"PR__COMW.004_19150","PR__COMW.004_19150","COMW4_20","COMW","Commonweal","Rural","Y2020",8,2.08,28.828,26.384,24.12,24.173,23.508,21.078,21.579,43.308,65.749,64.858,82.92,-43.138,46.656,71.662,77.045,74.289,60.352,-40.838,-75.147,17.092,44.362,49.692,47.6,36.093,-65.598
"PR__COMW.007_01250","PR__COMW.007_01250","COMW5_20","COMW","Commonweal","Rural","Y2020",9,2.08,28.946,26.503,23.44,20.952,17.181,9.915,6.684,43.346,56.17,55.194,74.279,44.124,45.144,64.017,68.699,63.983,54.123,32.719,11.998,15.461,37.396,44.566,43.621,41.027,22.854
"PR__COMW.007_03350","PR__COMW.007_03350","COMW5_20","COMW","Commonweal","Rural","Y2020",9,2.12,28.946,26.503,23.44,20.952,17.181,9.915,6.684,43.138,54.794,53.833,72.918,-42.115,44.109,62.798,66.926,62.56,56.877,33.495,-74.324,14.343,36.095,42.71,42.115,43.699,23.547
"PR__COMW.007_04700","PR__COMW.007_04700","COMW5_20","COMW","Commonweal","Rural","Y2020",9,2.08,28.946,26.503,23.44,20.952,17.181,9.915,6.684,42.749,56.541,55.562,74.647,-42.115,43.64,60.434,70.273,62.904,51.832,27.798,-74.241,13.957,33.814,46.14,42.542,38.737,17.934
"PR__COMW.007_06750","PR__COMW.007_06750","COMW5_20","COMW","Commonweal","Rural","Y2020",9,2.04,28.946,26.503,23.44,20.952,17.181,9.915,6.684,42.804,58.663,57.692,76.777,-42.115,48.132,64.182,72.288,65.085,54.281,30.018,-74.157,18.534,37.646,48.239,44.807,41.27,20.237
"PR__COMW.007_08950","PR__COMW.007_08950","COMW5_20","COMW","Commonweal","Rural","Y2020",9,2.06,28.946,26.503,23.44,20.952,17.181,9.915,6.684,45.008,55.751,54.803,73.888,41.066,47.426,63.354,67.95,64.867,53.592,31.406,8.982,17.785,36.776,43.859,44.547,40.539,21.584
"PR__COMW.007_10900","PR__COMW.007_10900","COMW5_20","COMW","Commonweal","Rural","Y2020",9,1.78,28.946,26.503,23.44,20.952,17.181,9.915,6.684,43.394,53.339,52.32,71.405,-42.115,-42.215,64.004,65.26,62.177,51.869,31.713,-73.565,-71.222,38.06,41.804,42.491,39.45,22.525
"PR__COMW.015_00250","PR__COMW.015_00250","COMW9_20","COMW","Commonweal","Rural","Y2020",13,1.9,28.299,26.215,24.247,23.478,20.813,10.747,9.329,NA,51.456,50.379,72.658,43.082,42.62,48.767,69.168,60.902,33.765,32.179,11.996,13.617,21.732,42.902,37.301,20.231,20.062
"PR__COMW.015_01150","PR__COMW.015_01150","COMW9_20","COMW","Commonweal","Rural","Y2020",13,1.16,28.299,26.215,24.247,23.478,20.813,10.747,9.329,44.873,54.893,53.873,76.152,-38.921,39.034,38.107,75.277,60.85,27.275,29.878,-67.864,12.174,13.216,51.155,39.392,15.884,19.905
"PR__COMW.015_01750","PR__COMW.015_01750","COMW9_20","COMW","Commonweal","Rural","Y2020",13,1.88,28.299,26.215,24.247,23.478,20.813,10.747,9.329,46.537,50.532,49.459,71.738,-38.921,36.888,50.721,67.909,61.898,33.341,23.007,-69.961,7.931,23.732,41.69,38.344,19.853,10.937
"PR__COMW.015_02450","PR__COMW.015_02450","COMW9_20","COMW","Commonweal","Rural","Y2020",13,1.86,28.299,26.215,24.247,23.478,20.813,10.747,9.329,44.397,56.473,55.521,77.8,43.153,43.341,53.762,74.083,67.894,39.451,30.868,12.159,14.43,26.82,47.91,44.386,26.009,18.844
"PR__COMW.015_03300","PR__COMW.015_03300","COMW9_20","COMW","Commonweal","Rural","Y2020",13,2.18,28.299,26.215,24.247,23.478,20.813,10.747,9.329,47.777,57.154,56.181,78.46,38.231,39.137,55.274,74.28,66.754,38.12,21.79,6.548,9.537,27.642,47.417,42.557,23.988,9.077
"PR__COMW.015_04100","PR__COMW.015_04100","COMW9_20","COMW","Commonweal","Rural","Y2020",13,2.06,28.299,26.215,24.247,23.478,20.813,10.747,9.329,48.556,55.423,54.402,76.681,42.835,41.099,52.205,73.084,62.656,33.016,23.237,11.397,11.745,24.819,46.468,38.705,19.131,10.769
"PR__COMW.015_05000","PR__COMW.015_05000","COMW9_20","COMW","Commonweal","Rural","Y2020",13,1.68,28.299,26.215,24.247,23.478,20.813,10.747,9.329,47.254,56.724,55.739,78.018,46.126,44.549,52.834,75.18,66.062,37.322,28.398,15.574,16.08,26.334,49.449,42.996,24.322,16.816
"PR__COMW.015_05650","PR__COMW.015_05650","COMW9_20","COMW","Commonweal","Rural","Y2020",13,1.98,28.299,26.215,24.247,23.478,20.813,10.747,9.329,48.07,55.489,54.528,76.807,40.303,39.2,54.124,72.755,66.83,40.316,27.613,9.038,10.018,26.91,46.311,43.051,26.603,15.317
"PR__COMW.015_06450","PR__COMW.015_06450","COMW9_20","COMW","Commonweal","Rural","Y2020",13,1.98,28.299,26.215,24.247,23.478,20.813,10.747,9.329,47.391,57.177,56.226,78.505,-38.921,-39.021,55.604,74.551,68.159,39.859,24.562,-70.186,-68.203,28.39,48.107,44.379,26.145,12.267
"PR__COMW.015_07150","PR__COMW.015_07150","COMW9_20","COMW","Commonweal","Rural","Y2020",13,2.04,28.299,26.215,24.247,23.478,20.813,10.747,9.329,48.329,52.819,51.833,74.112,-38.921,-39.021,51.535,69.781,64.552,38.872,17.902,-70.316,-68.333,24.191,43.207,40.643,25.029,5.476
"PR__COMW.018_00650","PR__COMW.018_00650","COMW11_20","COMW","Commonweal","Rural","Y2020",9,1.82,23.32,20.279,16.795,13.347,11.655,11.145,9.15,NA,57.485,56.552,75.637,37.802,32.882,64.286,71.216,65.676,54.483,33.183,11.882,10.002,44.891,55.269,51.421,40.737,21.432
"PR__COMW.019_00350","PR__COMW.019_00350","COMW11_20","COMW","Commonweal","Rural","Y2020",14,1.86,26.281,23.3,19.766,16.824,16.554,14.312,10.936,NA,57.483,56.568,79.491,24.253,36.981,70.259,73.648,70.946,60.33,41.937,-4.723,10.986,47.797,54.129,51.697,43.323,28.305
"PR__COMW.019_01350","PR__COMW.019_01350","COMW11_20","COMW","Commonweal","Rural","Y2020",14,1.98,24.071,20.428,16.529,14.508,11.162,11.695,7.548,48.462,56.363,55.496,78.419,39.054,34.836,68.523,71.95,70.145,62.027,40.519,12.016,11.442,49.027,54.475,56.016,47.365,30.004
"PR__COMW.019_02900","PR__COMW.019_02900","COMW11_20","COMW","Commonweal","Rural","Y2020",14,2.08,26.281,23.3,19.766,16.824,16.554,14.312,10.936,48.266,57.428,56.612,79.535,34.155,41.648,66.974,73.337,70.987,65.631,42.303,4.693,15.168,44.027,53.332,51.252,48.138,28.186
"PR__COMW.019_03800","PR__COMW.019_03800","COMW11_20","COMW","Commonweal","Rural","Y2020",14,2.06,26.281,23.3,19.766,16.824,16.554,14.312,10.936,49.004,58.387,57.453,80.376,47.63,47.831,71.159,74.143,70.794,61.018,41.669,18.211,21.393,48.254,54.181,51.102,43.567,27.595
