"","song.id","bird.id","location","dialect","region","year","distance","duration","bg.OBCZ2000","bg.OBCZ2500","bg.OBCZ3150","bg.OBCZ4000","bg.OBCZ5000","bg.OBCZ6300","bg.OBCZ8000","ambient.LAeq","SENEL.total","SENEL.song","SEL.LZeq","song.bands.OBCZ2000","song.bands.OBCZ2500","song.bands.OBCZ3150","song.bands.OBCZ4000","song.bands.OBCZ5000","song.bands.OBCZ6300","song.bands.OBCZ8000","song.bands.OBCZ2000.SNR","song.bands.OBCZ2500.SNR","song.bands.OBCZ3150.SNR","song.bands.OBCZ4000.SNR","song.bands.OBCZ5000.SNR","song.bands.OBCZ6300.SNR","song.bands.OBCZ8000.SNR"
"SF__LD__.008_00570","SF__LD__.008_00570","LD3_20","LODU","San_Fran","Urban","Y2020",13,0.88,16.544,16.162,23.396,31.448,24.175,22.551,18.836,NA,46.934,45.981,68.26,-38.921,-39.021,49.292,65.355,65.917,43.22,-36.621,-54.91,-54.628,26.451,34.462,42.297,21.224,-54.902
"SF__LD__.008_02070","SF__LD__.008_02070","LD3_20","LODU","San_Fran","Urban","Y2020",13,2.26,16.544,16.162,23.396,31.448,24.175,22.551,18.836,36.622,53.158,52.357,74.636,30.067,-39.021,49.141,66.425,69.065,53.381,-36.621,9.982,-58.724,22.203,31.436,41.349,27.289,-58.998
"SF__LD__.008_03270","SF__LD__.008_03270","LD3_20","LODU","San_Fran","Urban","Y2020",13,2.08,16.159,16.365,24.525,30.413,23.019,19.416,19.834,35.079,52.184,51.448,73.726,27.563,28.086,48.068,64.108,69.232,53.271,-36.621,8.224,8.541,20.363,30.514,43.032,30.674,-59.636
"SF__LD__.008_04590","SF__LD__.008_04590","LD3_20","LODU","San_Fran","Urban","Y2020",13,2.1,16.159,16.365,24.525,30.413,23.019,19.416,19.834,34.638,52.015,51.249,73.528,38.554,37.442,46.428,64.669,68.713,53.126,-36.621,19.173,17.855,18.68,31.034,42.472,30.488,-59.677
"SF__LD__.008_05750","SF__LD__.008_05750","LD3_20","LODU","San_Fran","Urban","Y2020",13,2.08,16.159,16.365,24.525,30.413,23.019,19.416,19.834,36.749,52.356,51.554,73.833,28.06,-39.021,45.193,66.313,68.456,52.774,-36.621,8.721,-58.566,17.487,32.719,42.256,30.178,-59.636
"SF__LD__.008_07100","SF__LD__.008_07100","LD3_20","LODU","San_Fran","Urban","Y2020",13,2.18,16.544,16.162,23.396,31.448,24.175,22.551,18.836,35.453,55.234,54.58,76.859,-38.921,-39.021,50.078,65.364,72.618,53.788,-36.621,-58.849,-58.568,23.297,30.532,45.059,27.852,-58.842
"SF__LD__.008_08350","SF__LD__.008_08350","LD3_20","LODU","San_Fran","Urban","Y2020",13,1.98,16.544,16.162,23.396,31.448,24.175,22.551,18.836,34.52,51.786,50.984,73.263,-38.921,-39.021,47.899,65.005,68.558,52.912,-36.621,-58.431,-58.15,21.536,30.591,41.417,27.394,-58.424
"SF__LD__.008_09650","SF__LD__.008_09650","LD3_20","LODU","San_Fran","Urban","Y2020",13,1.98,16.544,16.162,23.396,31.448,24.175,22.551,18.836,33.772,48.592,47.673,69.952,-38.921,-39.021,-38.921,59.989,65.88,48.752,-36.621,-58.431,-58.15,-65.284,25.574,38.738,23.235,-58.424
"831_Data.127_21910","831_Data.127_21910","COMW_Ubfence_15","COMW","Commonweal","Rural","Y2015",7.5,2.2,33.965,32.275,32.827,33.696,34.12,33.697,34.684,37.802,61.695,61.594,79.095,-42.499,45.814,65.872,73.92,68.106,54.357,-42.499,-79.888,10.115,29.621,36.8,30.562,17.236,-80.607
"831_Data.134_01620","831_Data.134_01620","COMW_UBA_15","COMW","Commonweal","Rural","Y2015",21,2,30.586,31.524,33.498,33.199,34.249,33.589,34.195,48.122,55.856,55.499,81.944,37.82,55.597,63.498,77.076,73.026,59.154,-33.556,4.224,21.062,26.99,40.867,35.766,22.555,-70.761
"831_Data.134_03680","831_Data.134_03680","COMW_UBA_15","COMW","Commonweal","Rural","Y2015",21,2.3,30.586,31.524,33.498,33.199,34.249,33.589,34.195,42.843,55.284,54.814,81.259,-33.556,54.586,59.947,75.89,71.714,58.693,35.392,-67.759,19.445,22.833,39.074,33.847,21.487,-2.42
"831_Data.134_13810","831_Data.134_13810","COMW_UBA_15","COMW","Commonweal","Rural","Y2015",21,2.1,30.524,31.471,32.29,32.868,34.161,33.556,34.205,31.34,55.424,55.032,81.477,-33.556,55.291,64.613,75.938,73.225,55.644,38.962,-67.302,20.598,29.101,39.848,35.842,18.866,1.535
"831_Data.136_02550","831_Data.136_02550","COMW_UBB_15","COMW","Commonweal","Rural","Y2015",19,2,30.82,31.749,32.416,33.22,33.621,33.736,34.274,49.846,58.971,58.808,84.383,-34.425,46.456,62.928,80.785,69.293,54.952,33.873,-68.255,11.697,27.502,44.555,32.661,18.206,-3.411
"831_Data.137_07770","831_Data.137_07770","COMW_UBB_15","COMW","Commonweal","Rural","Y2015",12.5,1.8,30.838,31.569,32.295,32.869,33.962,33.445,34.129,47.248,62.902,62.845,84.783,-38.062,-38.062,63.569,81.632,70.013,56.153,34.329,-71.452,-72.183,28.721,46.21,33.498,20.156,-2.352
"831_Data.138_17160","831_Data.138_17160","COMW_UBA_15","COMW","Commonweal","Rural","Y2015",6,2.1,30.771,31.521,32.248,32.907,33.528,33.746,34.248,47.351,58.229,58.033,73.596,-44.437,50.027,56.013,68.963,62.939,47.777,-44.437,-78.43,15.284,20.543,32.834,26.188,10.809,-81.907
"831_Data.139_01070","831_Data.139_01070","COMW_UB1_15","COMW","Commonweal","Rural","Y2015",20,1.2,30.749,31.584,32.385,32.964,34.076,33.592,34.171,NA,53.258,52.875,78.896,-33.979,43.849,49.676,77.268,67.886,48.939,39.601,-65.52,11.474,16.499,43.512,33.018,14.554,4.638
"831_Data.139_05040","831_Data.139_05040","COMW_UB1_15","COMW","Commonweal","Rural","Y2015",20,2.1,30.749,31.584,32.385,32.964,34.076,33.592,34.171,31.111,55.565,55.184,81.205,-33.979,-33.979,54.689,77.393,66.791,47.086,-33.979,-67.951,-68.786,19.082,41.207,29.492,10.272,-71.372
"831_Data.140_01540","831_Data.140_01540","COMW_UB2_15","COMW","Commonweal","Rural","Y2015",21,1.8,30.679,31.648,32.423,33.735,33.935,33.77,34.188,51.268,59.857,59.735,86.18,39.213,-33.556,69.836,82.973,70.021,56.069,37.887,5.981,-67.757,34.86,46.685,33.534,19.747,1.146
"831_Data.140_02590","831_Data.140_02590","COMW_UB2_15","COMW","Commonweal","Rural","Y2015",21,1.7,30.679,31.648,32.423,33.735,33.935,33.77,34.188,50.282,56.691,56.45,82.894,-33.556,-33.556,70.25,79.188,71.445,58.419,-33.556,-66.539,-67.508,35.522,43.148,35.205,22.345,-70.049
"831_Data.145_04950","831_Data.145_04950","AB_side_of_road_15","ABLA","Abbot","Rural","Y2015",14,1.9,30.982,31.68,32.301,33.149,33.971,33.785,34.222,43.702,60.203,60.085,83.008,43.367,50.672,74.262,78.125,68.988,53.693,45.179,9.597,16.205,39.174,42.188,32.23,17.121,8.17
"831_Data.149_08170","831_Data.149_08170","AB_BR_KS","ABLA","Abbot","Rural","Y2015",10,2.2,31.331,32.109,32.556,33.166,33.47,33.82,34.33,43.887,59.577,59.419,79.419,-40,39.272,68.36,69.301,73.365,59.781,39.729,-74.755,3.739,32.38,32.71,36.471,22.537,1.975
"831_Data.150_11930","831_Data.150_11930","AB_GOO_S","ABLA","Abbot","Rural","Y2015",13,1.8,30.782,31.609,32.285,32.883,33.407,33.912,34.32,42.97,58.94,58.795,81.074,-37.721,41.131,63.954,75.277,74.48,64.972,-37.721,-71.055,6.97,29.116,39.842,38.52,28.508,-74.594
"831_Data.151_10650","831_Data.151_10650","AB_KK_BS","ABLA","Abbot","Rural","Y2015",11,1.8,30.669,31.533,32.407,33.006,33.799,33.931,34.27,31.265,59.145,59.003,79.831,37.761,46.277,73.115,72.019,71.45,52.413,45.876,4.539,12.191,38.155,36.459,35.098,15.929,9.054
"831_Data.151_15480","831_Data.151_15480","AB_KK_BS","ABLA","Abbot","Rural","Y2015",11,1.4,30.669,31.533,32.407,33.006,33.799,33.931,34.27,41.96,59.408,59.304,80.132,-39.172,32.808,74.508,73.123,72.956,52.671,44.391,-71.302,-0.187,40.64,38.655,37.696,17.278,8.66
"831_Data.155_01380","831_Data.155_01380","AB_GOO_S","ABLA","Abbot","Rural","Y2015",11.5,1.9,30.866,31.656,32.43,33.024,33.472,33.791,34.372,40.664,56.959,56.712,77.926,-38.786,43.894,61.514,71.098,72.01,59.079,-38.786,-72.439,9.45,26.296,35.286,35.75,22.5,-75.946
"831_Data.161_01990","831_Data.161_01990","AB_GGW_S","ABLA","Abbot","Rural","Y2015",14,1.9,30.81,31.686,32.253,33.462,33.692,33.796,34.326,39.891,55.605,55.258,78.18,-37.077,38.038,60.569,72.64,70.417,63.692,44.503,-70.675,3.565,25.528,36.39,33.938,27.109,7.39
"831_Data.161_03080","831_Data.161_03080","AB_GGW_S","ABLA","Abbot","Rural","Y2015",14,1.9,30.81,31.686,32.253,33.462,33.692,33.796,34.326,45.979,57.227,56.99,79.913,23.197,-37.077,62.547,74.578,71.784,65.347,39.679,-10.4,-71.551,27.506,38.328,35.305,28.764,2.565
"831_Data.161_13240","831_Data.161_13240","AB_GGW_S","ABLA","Abbot","Rural","Y2015",10,2,30.619,31.486,32.417,33.138,33.954,33.797,34.242,43.049,60.312,60.192,80.192,36.43,29.331,58.568,75.477,70.429,64.33,33.642,2.8,-5.166,23.141,39.329,33.465,27.523,-3.61
"831_Data.164_28710","831_Data.164_28710","AB_RYR_S","ABLA","Abbot","Rural","Y2015",12,2.2,30.743,31.434,32.412,33.249,33.913,33.878,34.315,46.108,59.694,59.542,81.125,37.144,53.584,65.731,74.716,73.313,61.135,-38.416,2.976,18.726,29.895,38.042,35.976,23.833,-76.156
"831_Data.166_02260","831_Data.166_02260","AB_GOO_S","ABLA","Abbot","Rural","Y2015",16,2.1,30.588,31.633,32.785,33.594,33.872,33.782,34.302,50.88,59.397,59.237,83.319,41.968,48.276,66.365,77.532,74.957,67.179,38.149,8.157,13.421,30.357,40.716,37.863,30.175,0.624
"831_Data.166_05070","831_Data.166_05070","AB_GOO_S","ABLA","Abbot","Rural","Y2015",16,1.7,30.588,31.633,32.785,33.594,33.872,33.782,34.302,50.08,59.179,59.042,83.124,39.043,38.834,64.627,78.801,74.992,65.678,31.199,6.15,4.896,29.538,42.902,38.816,29.592,-5.408
"831_Data.170_08740","831_Data.170_08740","AB_GOO_S","ABLA","Abbot","Rural","Y2015",16.5,1.9,31.863,31.983,32.725,33.753,34.91,33.976,34.206,38.131,56.858,56.576,80.926,-35.65,43.664,65.181,75.148,73.547,65.059,36.96,-70.301,8.894,29.669,38.607,35.85,28.295,-0.033
"831_Data.170_16460","831_Data.170_16460","AB_GOO_S","ABLA","Abbot","Rural","Y2015",16.5,2,30.72,31.613,32.427,33.215,34.419,33.687,34.283,44.014,56.007,55.67,80.019,40.552,-35.65,60.218,73.713,73.222,63.537,-35.65,6.821,-70.273,24.78,37.488,35.793,26.839,-72.943
"831_Data.170_17700","831_Data.170_17700","AB_GOO_S","ABLA","Abbot","Rural","Y2015",16.5,2,30.72,31.613,32.427,33.215,34.419,33.687,34.283,42.994,57.346,57.102,81.452,-35.65,46.925,62.913,74.892,74.821,65.216,-35.65,-69.381,12.302,27.475,38.667,37.392,28.519,-72.943
"831_Data.170_20620","831_Data.170_20620","AB_GOO_S","ABLA","Abbot","Rural","Y2015",16.5,1.9,30.72,31.613,32.427,33.215,34.419,33.687,34.283,38.592,56.822,56.558,80.908,-35.65,43.809,62.417,74.509,74.495,65.39,-35.65,-69.158,9.408,27.203,38.507,37.289,28.916,-72.72
"831_Data.185_00760","831_Data.185_00760","BABE_UBD_15","BABE","San_Fran","Urban","Y2015",11.5,1.4,32.978,33.067,33.374,33.535,33.604,33.818,34.22,NA,57.202,57.002,78.216,44.087,42.398,70.34,74.631,66.199,50.891,41.454,9.648,7.87,35.504,39.635,31.134,15.612,5.773
"831_Data.200_39430","831_Data.200_39430","LAEN_UBE_15","LAEN","Merced","Urban","Y2015",12.5,1.9,39.096,37.47,37.506,39.659,38.469,34.512,34.714,54.012,64.059,63.922,85.86,-38.062,54.803,75.393,80.601,76.312,53.261,-38.062,-79.945,14.546,35.1,38.155,35.056,15.961,-75.564
"831_Data.202_03340","831_Data.202_03340","LAEN_UBF_15","LAEN","Merced","Urban","Y2015",7,2.4,38.642,36.744,35.436,34.428,34.214,34.068,34.203,58.448,56.445,55.913,72.815,-43.098,-43.098,62.9,66.715,59.759,47.434,34.347,-85.542,-83.644,23.661,28.485,21.742,9.564,-3.658
"831_Data.205_45460","831_Data.205_45460","LAEN_UBG_15","LAEN","Merced","Urban","Y2015",14.5,2.2,35.539,35.384,34.594,34.97,34.676,34.671,35.44,48.769,60.539,60.354,83.581,-36.773,48.665,71.491,76.741,75.643,60.508,-36.773,-75.736,9.857,33.472,38.346,37.543,22.413,-75.637
"831_Data.208_25880","831_Data.208_25880","LAEN_UBH_15","LAEN","Merced","Urban","Y2015",4,1.9,33.764,33.195,33.252,33.798,33.845,33.77,34.39,48.614,67.468,67.442,79.484,-47.959,36.482,69.58,72.663,72.246,48.441,39.097,-84.51,0.499,33.541,36.077,35.613,11.884,1.92
"831_Data.214_86610","831_Data.214_86610","LAEN_UBI_15","LAEN","Merced","Urban","Y2015",8,2,32.626,32.653,33.027,33.74,34.142,33.719,34.244,42.584,63.202,63.133,81.195,35.546,-41.938,70.663,74.799,73.172,49.94,32.924,-0.09,-77.601,34.625,38.049,36.019,13.211,-4.33
"PR__ABLA.031_00450","PR__ABLA.031_00450","AB14_20","ABLA","Abbot","Rural","Y2020",13,2.32,14.588,11.087,10.804,15.861,12.968,9.634,7.218,NA,63.684,62.906,85.185,31.842,44.306,62.958,78.876,77.643,65.67,38.892,13.599,29.564,48.499,59.36,61.02,52.381,28.018
"PR__ABLA.031_01900","PR__ABLA.031_01900","AB14_20","ABLA","Abbot","Rural","Y2020",13,2.08,14.588,11.087,10.804,15.861,12.968,9.634,7.218,35.79,62.873,62.074,84.353,26.582,44.003,62.01,78.797,76.985,63.757,36.314,8.813,29.736,48.025,59.755,60.837,50.943,25.915
"PR__ABLA.031_03450","PR__ABLA.031_03450","AB14_20","ABLA","Abbot","Rural","Y2020",13,2.08,14.588,11.087,10.804,15.861,12.968,9.634,7.218,35.613,61.976,61.209,83.488,32.207,44.56,63.728,77.468,76.445,66.003,35.541,14.438,30.293,49.743,58.426,60.297,53.188,25.142
"PR__ABLA.031_05000","PR__ABLA.031_05000","AB14_20","ABLA","Abbot","Rural","Y2020",13,2.08,14.588,11.087,10.804,15.861,12.968,9.634,7.218,36.898,61.97,61.181,83.46,-38.921,43.873,63.911,77.709,76.14,64.789,36.868,-56.69,29.606,49.926,58.667,59.992,51.974,26.469
"PR__ABLA.031_06400","PR__ABLA.031_06400","AB14_20","ABLA","Abbot","Rural","Y2020",13,2.32,14.588,11.087,10.804,15.861,12.968,9.634,7.218,36.426,61.179,60.372,82.651,-38.921,43.391,62.087,76.739,74.382,63.813,35.465,-57.164,28.649,47.628,57.223,57.76,50.525,24.592
"PR__ABLA.031_07750","PR__ABLA.031_07750","AB14_20","ABLA","Abbot","Rural","Y2020",13,2.08,14.588,11.087,10.804,15.861,12.968,9.634,7.218,36.146,61.734,60.972,83.251,-38.921,46.212,63.772,77.128,76.32,65.758,34.43,-56.69,31.945,49.787,58.086,60.171,52.943,24.031
"PR__ABLA.031_09150","PR__ABLA.031_09150","AB14_20","ABLA","Abbot","Rural","Y2020",13,2.38,14.588,11.087,10.804,15.861,12.968,9.634,7.218,35.411,60.806,60.016,82.295,-38.921,44.297,62.44,76.066,74.062,64.773,34.348,-57.275,29.445,47.87,56.438,57.329,51.374,23.364
"PR__ABLA.031_10050","PR__ABLA.031_10050","AB14_20","ABLA","Abbot","Rural","Y2020",13,2.48,14.588,11.087,10.804,15.861,12.968,9.634,7.218,36.248,61.137,60.364,82.643,23.672,42.542,61.661,76.039,74.57,65.065,34.517,5.14,27.511,46.912,56.233,57.657,51.487,23.354
"PR__ABLA.031_13900","PR__ABLA.031_13900","AB14_20","ABLA","Abbot","Rural","Y2020",13,2.18,16.906,14.327,15.989,16.663,18.265,17.83,15.019,38.276,61.958,61.217,83.496,-38.921,45.556,62.742,76.799,76.858,65.309,36.362,-59.211,27.845,43.369,56.751,55.209,44.094,17.959
"PR__ABLA.045_00150","PR__ABLA.045_00150","AB20_20","ABLA","Abbot","Rural","Y2020",6,2.4,17.749,13.807,13.355,16.667,20.153,19.108,15.203,NA,59.101,58.452,74.015,20.586,31.336,52.568,65.769,67.289,60.421,-43.337,-0.966,13.727,35.411,45.299,43.334,37.511,-62.342
"PR__ABLA.045_01250","PR__ABLA.045_01250","AB20_20","ABLA","Abbot","Rural","Y2020",6,2.28,17.749,13.807,13.355,16.667,20.153,19.108,15.203,49.105,61.032,60.357,75.92,23.874,34.141,53.997,68.841,68.34,63.522,37.575,2.545,16.754,37.063,48.594,44.608,40.835,18.793
"PR__ABLA.045_02000","PR__ABLA.045_02000","AB20_20","ABLA","Abbot","Rural","Y2020",6,2.48,16.41,15.106,21.185,21.399,20.697,16.551,14.485,51.43,60.387,59.579,75.142,26.03,31.578,52.974,69.235,65.529,59.605,21.78,5.676,12.527,27.844,43.892,40.888,39.109,3.35
"PR__ABLA.045_03900","PR__ABLA.045_03900","AB20_20","ABLA","Abbot","Rural","Y2020",6,2.02,16.41,15.106,21.185,21.399,20.697,16.551,14.485,39.419,54.545,53.653,69.216,23.707,26.129,50.799,64.89,58.097,53.85,-43.337,4.244,7.969,26.561,40.438,34.347,34.245,-60.876
"PR__ABLA.045_04950","PR__ABLA.045_04950","AB20_20","ABLA","Abbot","Rural","Y2020",6,1.56,15.514,12.927,16.755,16.269,15.01,14.045,10.826,43.204,59.208,58.338,73.901,-45.637,26.667,53.973,70.661,64.682,58.497,15.939,-63.082,11.809,35.286,52.462,47.741,42.521,3.182
"PR__ABLA.045_05900","PR__ABLA.045_05900","AB20_20","ABLA","Abbot","Rural","Y2020",6,1.88,17.749,13.807,13.355,16.667,20.153,19.108,15.203,49.688,60.307,59.504,75.067,-45.637,-45.737,53.603,70.187,67.353,59.01,28.832,-66.128,-62.286,37.507,50.778,44.458,37.161,10.888
"PR__ABLA.045_06900","PR__ABLA.045_06900","AB20_20","ABLA","Abbot","Rural","Y2020",6,1.9,17.749,13.807,13.355,16.667,20.153,19.108,15.203,50.699,61.684,60.914,76.477,27.324,17.254,56.031,71.216,68.966,62.11,27.665,6.788,0.659,39.889,51.761,46.026,40.214,9.675
"PR__ABLA.045_07800","PR__ABLA.045_07800","AB20_20","ABLA","Abbot","Rural","Y2020",6,1.98,16.41,15.106,21.185,21.399,20.697,16.551,14.485,52.006,60.203,59.531,75.094,-45.637,-45.737,52.353,68.524,68.344,63.088,27.763,-65.013,-63.81,28.202,44.158,44.68,43.57,10.311
"PR__ABLA.045_08990","PR__ABLA.045_08990","AB20_20","ABLA","Abbot","Rural","Y2020",6,1.98,16.329,14.876,20.782,20.955,20.326,16.45,14.368,43.442,59.358,58.649,74.212,-45.637,-45.737,50.772,67.861,67.729,60.121,26.346,-64.933,-63.58,27.023,43.939,44.436,40.705,9.011
"PR__ABLA.045_10350","PR__ABLA.045_10350","AB20_20","ABLA","Abbot","Rural","Y2020",6,1.98,16.41,15.106,21.185,21.399,20.697,16.551,14.485,39.38,62.611,61.784,77.347,24.1,28.014,53.057,72.61,68.73,60.923,26.176,4.724,9.941,28.905,48.245,45.067,41.406,8.724
"PR__COMW.006_00590","PR__COMW.006_00590","COMW5_20","COMW","Commonweal","Rural","Y2020",20,1.98,28.9,26.442,22.771,19.339,16.953,11.648,8.449,NA,50.367,49.224,75.245,45.925,41.913,62.717,71.257,60.866,53.58,25.538,14.059,12.504,36.98,48.951,40.946,38.965,14.123
"PR__COMW.006_02450","PR__COMW.006_02450","COMW5_20","COMW","Commonweal","Rural","Y2020",20,1.98,29.853,26.81,23.722,20.969,18.925,13.315,10.792,43.092,47.542,46.145,72.165,51.62,31.534,61.984,67.627,57.922,49.844,-32.879,18.8,1.757,35.295,43.691,36.03,33.563,-46.638
"SF__BE__.021_01000","SF__BE__.021_01000","BW2_20","BATW","San_Fran","Urban","Y2020",12,1.58,36.711,36.028,34.4,33.145,29.935,20.668,19.651,50.54,47.893,45.231,66.815,-39.616,-39.716,-39.616,62.657,60.534,43.803,35.145,-78.314,-77.731,-76.003,27.526,28.612,21.149,13.507
"SF__BE__.039_01900","SF__BE__.039_01900","FS1_20","FWSC","San_Fran","Urban","Y2020",14,2.3,18.969,21.877,25.836,26.37,24.902,10.304,10.52,48.374,56.66,55.872,78.794,47.485,42.559,59.13,71.668,72.31,46.943,39.375,24.898,17.064,29.676,41.68,43.79,33.022,25.237
"SF__BE__.039_03050","SF__BE__.039_03050","FS1_20","FWSC","San_Fran","Urban","Y2020",14,2.28,18.969,21.877,25.836,26.37,24.902,10.304,10.52,41.687,55.096,54.254,77.177,-38.277,-38.377,61.347,70.436,70.101,45.417,37.465,-60.826,-63.834,31.931,40.487,41.619,31.534,23.365
"SF__BE__.044_00400","SF__BE__.044_00400","FS2_20","FWSC","San_Fran","Urban","Y2020",14,1.78,27.034,39.168,37.591,35.395,26.707,13.977,13.942,NA,64.484,63.633,86.556,-38.277,-38.377,70.042,81.47,80.041,44.975,37.596,-67.816,-80.05,29.947,43.571,50.83,28.494,21.15
"SF__BE__.044_02450","SF__BE__.044_02450","FS2_20","FWSC","San_Fran","Urban","Y2020",14,2.08,27.034,39.168,37.591,35.395,26.707,13.977,13.942,50.371,63.616,62.642,85.564,48.799,66.047,70.61,80.168,77.152,45.658,34.423,18.585,23.698,29.839,41.592,47.264,28.5,17.3
"SF__BE__.051_00450","SF__BE__.051_00450","FS4_20","FWSC","San_Fran","Urban","Y2020",7,2.18,34.491,32.216,30.276,32.452,22.913,12.317,15.135,NA,64.642,63.68,80.582,-44.298,-44.398,60.443,76.383,68.655,45.34,38.844,-82.174,-79.999,26.783,40.547,42.357,29.638,20.324
"SF__BE__.051_02150","SF__BE__.051_02150","FS4_20","FWSC","San_Fran","Urban","Y2020",7,1.92,34.491,32.216,30.276,32.452,22.913,12.317,15.135,51.368,62.553,61.609,78.511,-44.298,35.114,58.604,74.439,69.039,45.754,39.377,-81.622,0.065,25.495,39.155,43.293,30.604,21.409
"SF__LD__.012_00700","SF__LD__.012_00700","LD5_20","LODU","San_Fran","Urban","Y2020",17,1.82,12.236,11.913,14.003,13.565,15.884,11.41,9.352,NA,45.573,44.687,69.296,-36.591,39.813,57.693,63.667,62.287,36.449,-34.291,-51.427,25.299,41.089,47.501,43.802,22.438,-46.244
"PR__LIMA.006_01540","PR__LIMA.006_01540","LIMA5_20","LIMA","Limantor","Rural","Y2020",11,2.02,25.797,24.642,23.456,22.791,24.652,17.628,18.465,47.068,54.51,53.693,74.521,-40.372,-40.472,59.04,67.808,68.43,48.549,38.409,-69.223,-68.167,32.531,41.963,40.725,27.867,16.89
"PR__LIMA.006_02219","PR__LIMA.006_02219","LIMA5_20","LIMA","Limantor","Rural","Y2020",11,1.82,31.347,31.255,30.907,30.05,31.749,24.195,24.22,47.632,54.75,53.739,74.567,43.331,45.465,58.936,68.565,68.726,48.546,-38.072,9.383,11.61,25.428,35.915,34.377,21.75,-64.893
"PR__LIMA.009_00305","PR__LIMA.009_00305","LIMA7_20","LIMA","Limantor","Rural","Y2020",11,2.1,21.1,19.169,17.786,17.146,18.721,13.935,14.923,NA,59.165,58.334,79.162,-40.372,-40.472,62.473,73.633,71.221,58.962,38.945,-64.695,-62.863,41.466,53.265,49.278,41.805,20.8
"PR__LIMA.009_01367","PR__LIMA.009_01367","LIMA7_20","LIMA","Limantor","Rural","Y2020",11,2.14,21.368,19.444,18.1,17.428,18.83,13.958,15.022,49.289,58.817,58.01,78.838,23.227,24.155,58.872,73.072,71.383,57.894,36.704,-1.445,1.407,37.468,52.339,49.249,40.631,18.377
"PR__LIMA.009_02439","PR__LIMA.009_02439","LIMA7_20","LIMA","Limantor","Rural","Y2020",11,2.14,20.632,18.732,17.416,16.694,18.292,13.414,13.43,49.009,58.057,57.305,78.132,-40.372,-40.472,57.887,71.464,71.769,56.644,32.898,-64.309,-62.509,37.167,51.466,50.173,39.926,16.164
"PR__LIMA.009_03633","PR__LIMA.009_03633","LIMA7_20","LIMA","Limantor","Rural","Y2020",11,1.82,20.152,18.682,17.083,15.92,17.315,12.223,12.148,38.944,57.976,57.265,78.093,-40.372,-40.472,59.949,71.197,73.062,57.965,34.546,-63.125,-61.755,40.265,52.677,53.147,43.141,19.798
"SF__BE__.087_01581","SF__BE__.087_01581","FS5_20","FWSC","San_Fran","Urban","Y2020",7,2.44,36.116,32.583,30.357,29.588,27.216,12.716,14.939,62.829,65.872,65.144,82.046,-44.298,40.089,60.838,73.643,76.097,45.12,35.006,-84.288,3.633,26.607,40.181,45.008,28.53,16.193
"SF__BE__.091_01351","SF__BE__.091_01351","FS7_20","FWSC","San_Fran","Urban","Y2020",5,2.3,32.526,28.624,26.511,26.81,24.761,12.067,29.817,48.151,63.639,62.931,76.91,-47.221,33.497,57.972,68.313,71.376,43.483,-44.921,-83.364,1.256,27.844,37.886,42.998,27.799,-78.355
"SF__BE__.092_01071","SF__BE__.092_01071","FS7_20","FWSC","San_Fran","Urban","Y2020",5,2.26,34.944,32.665,30.812,27.874,22.809,7.576,12.093,46.917,60.925,60.002,73.982,-47.221,-47.321,57.606,68.37,65.45,41.692,27.265,-85.706,-83.526,23.253,36.955,39.1,30.576,11.631
"SF__BE__.018_07790","SF__BE__.018_07790","BW1_20","BATW","San_Fran","Urban","Y2020",5,2.54,30.026,31.097,32.452,31.764,25.292,13.535,9.943,43.195,65.857,64.757,78.736,-47.221,54.736,72.076,70.221,63.506,37.807,34.984,-81.295,19.591,35.575,34.408,34.166,20.223,20.992
"SF__BE__.018_13101","SF__BE__.018_13101","BW1_20","BATW","San_Fran","Urban","Y2020",5,2.52,31.805,30.251,30.578,30.673,23.93,31.932,36.715,43.363,64.998,63.882,77.861,-47.221,48.866,70.928,70.381,58.327,-45.921,-44.921,-83.039,14.601,36.337,35.694,30.383,-81.867,-85.65
"SF__BE__.019_01423","SF__BE__.019_01423","BW1_20","BATW","San_Fran","Urban","Y2020",5,2.14,26.636,25.299,24.711,24.98,18.325,8.189,7.203,41.956,47.59,46.34,60.32,-47.221,27.497,41.698,55.99,49.25,29.815,28.151,-77.16,-1.106,13.682,27.707,27.621,18.321,17.644
"SF__BE__.019_00305","SF__BE__.019_00305","BW1_20","BATW","San_Fran","Urban","Y2020",5,2.12,29.129,27.296,25.924,25.025,19.4,9.97,9.676,NA,48.366,47.075,61.055,-47.221,-47.321,42.526,56.823,49.788,28.607,28.687,-79.613,-77.88,13.339,28.534,27.125,15.373,15.748
"SF__BE__.025_01642","SF__BE__.025_01642","BW3_20","BATW","San_Fran","Urban","Y2020",2,1.76,21.393,20.124,18.224,19.026,16.882,7.07,7.405,44.154,51.661,50.752,56.772,-55.179,-55.279,28.636,53.024,48.178,18.634,14.445,-79.027,-77.859,7.957,31.542,28.841,9.109,4.584
"SF__BE__.025_01137","SF__BE__.025_01137","BW3_20","BATW","San_Fran","Urban","Y2020",2,1.72,22.689,20.902,19.857,19.233,17.247,8.657,8.654,41.456,51.87,50.956,56.976,10.523,-55.279,30.345,53.278,48.598,22.834,15.071,-14.52,-78.536,8.133,31.69,28.996,11.821,4.062
