"song.id","bird.id","distance","bg.OBCZ2000","bg.OBCZ2500","bg.OBCZ3150","bg.OBCZ4000","bg.OBCZ5000","bg.OBCZ6300","bg.OBCZ8000","ambient.LAeq","SENEL.total","SEL.LZeq","song.bands.OBCZ2000","song.bands.OBCZ2500","song.bands.OBCZ3150","song.bands.OBCZ4000","song.bands.OBCZ5000","song.bands.OBCZ6300","song.bands.OBCZ8000","location","year"
"PR__COMW.004_17550","COMW4_20",8,28.828,26.384,24.12,24.173,23.508,21.078,21.579,43.738,66.97,84.162,-43.138,48.39,71.285,78.54,75.752,62.002,38.789,"COMW","Y2020"
"PR__COMW.004_19150","COMW4_20",8,28.828,26.384,24.12,24.173,23.508,21.078,21.579,43.308,65.749,82.92,-43.138,46.656,71.662,77.045,74.289,60.352,-40.838,"COMW","Y2020"
"PR__COMW.007_01250","COMW5_20",9,28.946,26.503,23.44,20.952,17.181,9.915,6.684,43.346,56.17,74.279,44.124,45.144,64.017,68.699,63.983,54.123,32.719,"COMW","Y2020"
"PR__COMW.007_03350","COMW5_20",9,28.946,26.503,23.44,20.952,17.181,9.915,6.684,43.138,54.794,72.918,-42.115,44.109,62.798,66.926,62.56,56.877,33.495,"COMW","Y2020"
"PR__COMW.007_04700","COMW5_20",9,28.946,26.503,23.44,20.952,17.181,9.915,6.684,42.749,56.541,74.647,-42.115,43.64,60.434,70.273,62.904,51.832,27.798,"COMW","Y2020"
"PR__COMW.007_06750","COMW5_20",9,28.946,26.503,23.44,20.952,17.181,9.915,6.684,42.804,58.663,76.777,-42.115,48.132,64.182,72.288,65.085,54.281,30.018,"COMW","Y2020"
"PR__COMW.007_08950","COMW5_20",9,28.946,26.503,23.44,20.952,17.181,9.915,6.684,45.008,55.751,73.888,41.066,47.426,63.354,67.95,64.867,53.592,31.406,"COMW","Y2020"
"PR__COMW.007_10900","COMW5_20",9,28.946,26.503,23.44,20.952,17.181,9.915,6.684,43.394,53.339,71.405,-42.115,-42.215,64.004,65.26,62.177,51.869,31.713,"COMW","Y2020"
"PR__COMW.015_00250","COMW9_20",13,28.299,26.215,24.247,23.478,20.813,10.747,9.329,NA,51.456,72.658,43.082,42.62,48.767,69.168,60.902,33.765,32.179,"COMW","Y2020"
"PR__COMW.015_01150","COMW9_20",13,28.299,26.215,24.247,23.478,20.813,10.747,9.329,44.873,54.893,76.152,-38.921,39.034,38.107,75.277,60.85,27.275,29.878,"COMW","Y2020"
"PR__COMW.015_01750","COMW9_20",13,28.299,26.215,24.247,23.478,20.813,10.747,9.329,46.537,50.532,71.738,-38.921,36.888,50.721,67.909,61.898,33.341,23.007,"COMW","Y2020"
"PR__COMW.015_02450","COMW9_20",13,28.299,26.215,24.247,23.478,20.813,10.747,9.329,44.397,56.473,77.8,43.153,43.341,53.762,74.083,67.894,39.451,30.868,"COMW","Y2020"
"PR__COMW.015_03300","COMW9_20",13,28.299,26.215,24.247,23.478,20.813,10.747,9.329,47.777,57.154,78.46,38.231,39.137,55.274,74.28,66.754,38.12,21.79,"COMW","Y2020"
"PR__COMW.015_04100","COMW9_20",13,28.299,26.215,24.247,23.478,20.813,10.747,9.329,48.556,55.423,76.681,42.835,41.099,52.205,73.084,62.656,33.016,23.237,"COMW","Y2020"
"PR__COMW.015_05000","COMW9_20",13,28.299,26.215,24.247,23.478,20.813,10.747,9.329,47.254,56.724,78.018,46.126,44.549,52.834,75.18,66.062,37.322,28.398,"COMW","Y2020"
"PR__COMW.015_05650","COMW9_20",13,28.299,26.215,24.247,23.478,20.813,10.747,9.329,48.07,55.489,76.807,40.303,39.2,54.124,72.755,66.83,40.316,27.613,"COMW","Y2020"
"PR__COMW.015_06450","COMW9_20",13,28.299,26.215,24.247,23.478,20.813,10.747,9.329,47.391,57.177,78.505,-38.921,-39.021,55.604,74.551,68.159,39.859,24.562,"COMW","Y2020"
"PR__COMW.015_07150","COMW9_20",13,28.299,26.215,24.247,23.478,20.813,10.747,9.329,48.329,52.819,74.112,-38.921,-39.021,51.535,69.781,64.552,38.872,17.902,"COMW","Y2020"
"PR__COMW.018_00650","COMW11_20",9,23.32,20.279,16.795,13.347,11.655,11.145,9.15,NA,57.485,75.637,37.802,32.882,64.286,71.216,65.676,54.483,33.183,"COMW","Y2020"
"PR__COMW.019_00350","COMW11_20",14,26.281,23.3,19.766,16.824,16.554,14.312,10.936,NA,57.483,79.491,24.253,36.981,70.259,73.648,70.946,60.33,41.937,"COMW","Y2020"
"PR__COMW.019_01350","COMW11_20",14,24.071,20.428,16.529,14.508,11.162,11.695,7.548,48.462,56.363,78.419,39.054,34.836,68.523,71.95,70.145,62.027,40.519,"COMW","Y2020"
"PR__COMW.019_02900","COMW11_20",14,26.281,23.3,19.766,16.824,16.554,14.312,10.936,48.266,57.428,79.535,34.155,41.648,66.974,73.337,70.987,65.631,42.303,"COMW","Y2020"
"PR__COMW.019_03800","COMW11_20",14,26.281,23.3,19.766,16.824,16.554,14.312,10.936,49.004,58.387,80.376,47.63,47.831,71.159,74.143,70.794,61.018,41.669,"COMW","Y2020"
"PR__COMW.019_05500","COMW11_20",14,26.281,23.3,19.766,16.824,16.554,14.312,10.936,50.232,58.763,80.84,27.445,41.894,69.976,73.786,72.625,63.896,43.48,"COMW","Y2020"
"SF__BE__.050_00150","FS4_20",5,37.175,34.819,33.755,34.825,24.534,15.982,20.51,NA,62.207,75.181,-47.221,-47.321,55.71,71.394,63.632,42.326,36.046,"FWSC","Y2020"
