"","Bird","Location","year.val","Region","LAeq","LAF90","File.Name"
"831_Data.338","BW_S_MGM","BATW","Y2016","Urban",48.7,45.1,"831_Data.338"
"831_Data.368","BW_S_MGM","BATW","Y2016","Urban",58.2,51.9,"831_Data.368"
"831_Data.291","BW14_16","BATW","Y2016","Urban",53.3,47.5,"831_Data.291"
"831_Data.292","BW_lbS_WR","BATW","Y2016","Urban",50.1,45.9,"831_Data.292"
"831_Data.293","BW_YS_YW","FWSC","Y2016","Urban",44,41.6,"831_Data.293"
"831_Data.340","BW_YS_YW","FWSC","Y2016","Urban",54.7,44,"831_Data.340"
"831_Data.370","BW_YS_YW","FWSC","Y2016","Urban",56.5,48.2,"831_Data.370"
"831_Data.294","BW17_16","BATW","Y2016","Urban",45.8,39.4,"831_Data.294"
"831_Data.295","BW18_16","BATW","Y2016","Urban",56.1,41.1,"831_Data.295"
"831_Data.285","BW2_16","BATW","Y2016","Urban",50.7,46.9,"831_Data.285"
"831_Data.344","BW_WS_KG","BATW","Y2016","Urban",59.7,51,"831_Data.344"
"831_Data.392","BW_WS_KG","BATW","Y2016","Urban",51.7,46.6,"831_Data.392"
"831_Data.283","BW3_16","BATW","Y2016","Urban",48.3,43.6,"831_Data.283"
"831_Data.318","BW3_16","BATW","Y2016","Urban",55.7,45.6,"831_Data.318"
"831_Data.339","BW3_16","BATW","Y2016","Urban",47.2,39.3,"831_Data.339"
"831_Data.369","BW3_16","BATW","Y2016","Urban",51.5,40.9,"831_Data.369"
"831_Data.288","BW_S_KYW","BATW","Y2016","Urban",45,42.4,"831_Data.288"
"831_Data.289","BW_S_YOO","BATW","Y2016","Urban",50.4,46,"831_Data.289"
"831_Data.284","BW_GS_lblb","BATW","Y2016","Urban",52,48.7,"831_Data.284"
"831_Data.269","BW_S_BGR","BATW","Y2016","Urban",53.7,48.5,"831_Data.269"
"831_Data.270","BW_KS_KY","BATW","Y2016","Urban",50.9,47.6,"831_Data.270"
"188","COMW_BG_S","COMW","Y2016","Rural",42.5,NA,NA
"831_Data.533","COMW_S_GGY","COMW","Y2016","Rural",41.3,38.4,"831_Data.533"
"831_Data.562","COMW_S_KWR","COMW","Y2016","Rural",53.4,47,"831_Data.562"
"831_Data.554","COMW18_16","COMW","Y2016","Rural",42.6,38.6,"831_Data.554"
"831_Data.555","COMW19_16","COMW","Y2016","Rural",41,36.8,"831_Data.555"
"831_Data.535","COMW_S_KMM","COMW","Y2016","Rural",41.6,37.8,"831_Data.535"
"831_Data.556","COMW20_16","COMW","Y2016","Rural",45.6,35.1,"831_Data.556"
"831_Data.557","COMW21_16","COMW","Y2016","Rural",42.9,34.3,"831_Data.557"
"831_Data.559","COMW23_16","COMW","Y2016","Rural",36.3,31.8,"831_Data.559"
"831_Data.560","COMW24_16","COMW","Y2016","Rural",46.7,34.6,"831_Data.560"
"831_Data.561","COMW25_16","COMW","Y2016","Rural",45.9,34.7,"831_Data.561"
"831_Data.563","COMW26_16","COMW","Y2016","Rural",39,31.2,"831_Data.563"
"831_Data.564","COMW_OS_YY","COMW","Y2016","Rural",44.5,31.8,"831_Data.564"
"831_Data.537","COMW_MS_YY","COMW","Y2016","Rural",45.3,39.3,"831_Data.537"
"831_Data.538","COMW4_16","COMW","Y2016","Rural",45.1,41.4,"831_Data.538"
"831_Data.540","COMW_OS_WW","COMW","Y2016","Rural",45.5,41.5,"831_Data.540"
"831_Data.541","COMW7_16","COMW","Y2016","Rural",47.8,39.9,"831_Data.541"
"218","COMW_KO_YS","COMW","Y2016","Rural",49.3,NA,NA
"831_Data.217","FF_S_GYY","FOFU","Y2016","Urban",68.1,55.6,"831_Data.217"
"831_Data.225","FF_S_YOK","FOFU","Y2016","Urban",50.9,47.9,"831_Data.225"
"831_Data.228","FF_S_BYO","FOFU","Y2016","Urban",56.5,49.2,"831_Data.228"
"831_Data.230","FF_S_lbYY","FOFU","Y2016","Urban",62.8,53.8,"831_Data.230"
"831_Data.231","FF16_16","FOFU","Y2016","Urban",52.4,49.4,"831_Data.231"
"831_Data.232","FF17_16","FOFU","Y2016","Urban",51.9,48.1,"831_Data.232"
"831_Data.233","FF18_16","FOFU","Y2016","Urban",48.1,45.9,"831_Data.233"
"831_Data.219","FF_OS_WY","FOFU","Y2016","Urban",56,52.8,"831_Data.219"
"831_Data.234","FF_BS_KY","FOFU","Y2016","Urban",65.1,57.9,"831_Data.234"
"831_Data.237","FF22_16","FOFU","Y2016","Urban",55.6,47.9,"831_Data.237"
"831_Data.238","FF23_16","FOFU","Y2016","Urban",49.6,47.5,"831_Data.238"
"831_Data.240","FF25_16","FOFU","Y2016","Urban",60.6,55.6,"831_Data.240"
"831_Data.241","FF_S_KOM","FOFU","Y2016","Urban",50.3,48.6,"831_Data.241"
"831_Data.242","FF27_16","FOFU","Y2016","Urban",47.3,45.2,"831_Data.242"
"831_Data.243","FF_BS_WO","FOFU","Y2016","Urban",45.9,44.2,"831_Data.243"
"831_Data.244","FF29_16","FOFU","Y2016","Urban",50.6,48.1,"831_Data.244"
"831_Data.218","FF3_16","FOFU","Y2016","Urban",59.3,53.6,"831_Data.218"
"831_Data.245","FF_MS_RG","FOFU","Y2016","Urban",48.3,44,"831_Data.245"
"831_Data.246","FF_S_BGG","FOFU","Y2016","Urban",49.8,45,"831_Data.246"
"831_Data.247","FF32_16","FOFU","Y2016","Urban",46.7,42.8,"831_Data.247"
"831_Data.248","FF33_16","FOFU","Y2016","Urban",52.7,45.6,"831_Data.248"
"831_Data.249","FF_OS_Glb","FOFU","Y2016","Urban",56.4,50.3,"831_Data.249"
"831_Data.250","FF_OG_BS","FOFU","Y2016","Urban",64.9,56.2,"831_Data.250"
"831_Data.251","FF36_16","FOFU","Y2016","Urban",57.8,51.3,"831_Data.251"
"831_Data.253","FF37_16","FOFU","Y2016","Urban",55.1,48.3,"831_Data.253"
"831_Data.254","FF38_16","FOFU","Y2016","Urban",67.5,58.2,"831_Data.254"
"831_Data.220","FF4_16","FOFU","Y2016","Urban",56.2,50.4,"831_Data.220"
"831_Data.221","FF_S_WWK","FOFU","Y2016","Urban",59.9,53.6,"831_Data.221"
"831_Data.222","FF7_16","FOFU","Y2016","Urban",48.3,46.1,"831_Data.222"
"831_Data.223","FF8_16","FOFU","Y2016","Urban",54.1,51.1,"831_Data.223"
"831_Data.224","FF_S_WMG","FOFU","Y2016","Urban",52.2,49.8,"831_Data.224"
"831_Data.400","FF_YO_RS","FOFU","Y2016","Urban",46.7,42.3,"831_Data.400"
"831_Data.279","FP_BS_lbP","FOPO","Y2016","Urban",60.6,56.8,"831_Data.279"
"831_Data.280","FP_lbS_OO","FOPO","Y2016","Urban",61.2,56.1,"831_Data.280"
"831_Data.298","FS_KS_GY","FWSC","Y2016","Urban",48.9,39.7,"831_Data.298"
"831_Data.342","FS_KS_GY","FWSC","Y2016","Urban",48.9,41.8,"831_Data.342"
"831_Data.372","FS_KS_GY","FWSC","Y2016","Urban",47.9,44.2,"831_Data.372"
"831_Data.388","FS_KS_GY","FWSC","Y2016","Urban",54.5,44,"831_Data.388"
"831_Data.343","FS_S_GOO","FWSC","Y2016","Urban",49.8,47,"831_Data.343"
"831_Data.391","FS_S_GOO","FWSC","Y2016","Urban",50.9,45.2,"831_Data.391"
"831_Data.302","FS_KS_YG","FWSC","Y2016","Urban",62,59.7,"831_Data.302"
"831_Data.304","FS_S_KOK","FWSC","Y2016","Urban",60.5,58.7,"831_Data.304"
"831_Data.305","FS_lbS_lblb","FWSC","Y2016","Urban",64.5,59.3,"831_Data.305"
"831_Data.307","FS_S_MRP","FWSC","Y2016","Urban",59.6,53.5,"831_Data.307"
"831_Data.371","FS_S_RYG","FWSC","Y2016","Urban",59.8,46.7,"831_Data.371"
"831_Data.387","FS_S_RYG","FWSC","Y2016","Urban",54.8,46.2,"831_Data.387"
"831_Data.565","LIMA_YS_WG","LIMA","Y2016","Rural",43.9,36.4,"831_Data.565"
"831_Data.566","LIMA_RS_OO","LIMA","Y2016","Rural",47.7,38.1,"831_Data.566"
"831_Data.569","LIMA12_16","LIMA","Y2016","Rural",40,35.6,"831_Data.569"
"831_Data.570","LIMA_S_KOG","LIMA","Y2016","Rural",46.4,40.1,"831_Data.570"
"831_Data.573","LIMA_S_RKY","LIMA","Y2016","Rural",43.6,39.8,"831_Data.573"
"831_Data.575","LIMA_YS_OG","LIMA","Y2016","Rural",53.4,48.8,"831_Data.575"
"831_Data.568","LIMA_S_GGK","LIMA","Y2016","Rural",49.7,36,"831_Data.568"
"286","LIMA4_16","LIMA","Y2016","Rural",44.2,NA,NA
"831_Data.567","LIMA9_16","LIMA","Y2016","Rural",43.3,38.5,"831_Data.567"
"PR__ABLA.001","AB1_20","ABLA","Y2020","Rural",42.3452,38.5,"PR__ABLA.001"
"PR__ABLA.004","AB2_20","ABLA","Y2020","Rural",38.7783,33.8,"PR__ABLA.004"
"PR__ABLA.006","AB3_20","ABLA","Y2020","Rural",36.2358,34.4,"PR__ABLA.006"
"PR__ABLA.009","AB4_20","ABLA","Y2020","Rural",43.6875,37.1,"PR__ABLA.009"
"PR__ABLA.011","AB5_20","ABLA","Y2020","Rural",42.3519,38.1,"PR__ABLA.011"
"PR__ABLA.012","AB7_20","ABLA","Y2020","Rural",39.8469,36.5,"PR__ABLA.012"
"PR__ABLA.013","AB6_20","ABLA","Y2020","Rural",40.778,35.1,"PR__ABLA.013"
"PR__ABLA.015","AB8_20","ABLA","Y2020","Rural",37.01,32.3,"PR__ABLA.015"
"PR__ABLA.022","AB10_20","ABLA","Y2020","Rural",40.0473,33.7,"PR__ABLA.022"
"PR__ABLA.023","AB11_20","ABLA","Y2020","Rural",36.9658,33.7,"PR__ABLA.023"
"PR__ABLA.028","AB_KGO_S","ABLA","Y2020","Rural",48.3907,35.9,"PR__ABLA.028"
"PR__ABLA.030","AB13_20","ABLA","Y2020","Rural",36.3285,34.1,"PR__ABLA.030"
"PR__ABLA.032","AB14_20","ABLA","Y2020","Rural",40.5501,34.4,"PR__ABLA.032"
"PR__ABLA.035","AB15_20","ABLA","Y2020","Rural",39.6117,38.1,"PR__ABLA.035"
"PR__ABLA.037","AB16_20","ABLA","Y2020","Rural",38.8338,37.6,"PR__ABLA.037"
"PR__ABLA.038","AB_fennel_20","ABLA","Y2020","Rural",38.658,36.5,"PR__ABLA.038"
"PR__ABLA.039","AB17_20","ABLA","Y2020","Rural",39.5506,37.3,"PR__ABLA.039"
"PR__ABLA.042","AB18_20","ABLA","Y2020","Rural",41.9274,35.1,"PR__ABLA.042"
"PR__ABLA.044","AB19_20","ABLA","Y2020","Rural",39.5731,33.6,"PR__ABLA.044"
"PR__ABLA.046","AB20_20","ABLA","Y2020","Rural",40.8595,38.8,"PR__ABLA.046"
"PR__ABLA.047","COMW1_20","COMW","Y2020","Rural",47.8964,37.3,"PR__ABLA.047"
"PR__ABLA.049","COMW10_20","COMW","Y2020","Rural",39.7598,35.8,"PR__ABLA.049"
"PR__COMW.001","COMW2_20","COMW","Y2020","Rural",42.0791,40.1,"PR__COMW.001"
"PR__COMW.003","COMW4_20","COMW","Y2020","Rural",42.0223,40.5,"PR__COMW.003"
"PR__COMW.009","COMW5_20","COMW","Y2020","Rural",42.2192,40.3,"PR__COMW.009"
"PR__COMW.010","COMW6_20","COMW","Y2020","Rural",45.386,42.8,"PR__COMW.010"
"PR__COMW.011","COMW7_20","COMW","Y2020","Rural",43.313,41.5,"PR__COMW.011"
"PR__COMW.016","COMW9_20","COMW","Y2020","Rural",39.461,37.1,"PR__COMW.016"
"PR__COMW.020","COMW11_20","COMW","Y2020","Rural",42.2052,39.7,"PR__COMW.020"
"PR__COMW.022","COMW_woodpile_20","COMW","Y2020","Rural",45.131,38.5,"PR__COMW.022"
"PR__COMW.026","COMW12_20","COMW","Y2020","Rural",41.3221,36.9,"PR__COMW.026"
"PR__COMW.031","COMW13_20","COMW","Y2020","Rural",39.3416,37.1,"PR__COMW.031"
"PR__COMW.034","COMW14_20","COMW","Y2020","Rural",41.6928,39.8,"PR__COMW.034"
"PR__COMW.037","COMW15_20","COMW","Y2020","Rural",40.4295,37.7,"PR__COMW.037"
"PR__COMW.042","COMW16_20","COMW","Y2020","Rural",41.6384,37.9,"PR__COMW.042"
"PR__COMW.043","COMW17_20","COMW","Y2020","Rural",42.746,41.4,"PR__COMW.043"
"PR__COMW.044","COMW18_20","COMW","Y2020","Rural",43.5673,39.8,"PR__COMW.044"
"PR__COMW.045","COMW19_20","COMW","Y2020","Rural",52.9223,50.2,"PR__COMW.045"
"PR__COMW.048","COMW20_20","COMW","Y2020","Rural",46.2923,41.9,"PR__COMW.048"
"PR__COMW.049","COMW21_20","COMW","Y2020","Rural",43.8339,41.7,"PR__COMW.049"
"PR__COMW.050","COMW22_20","COMW","Y2020","Rural",42.8516,40.1,"PR__COMW.050"
"PR__COMW.051","COMW_S_WYW","COMW","Y2020","Rural",45.1645,43.4,"PR__COMW.051"
"PR__LIMA.001","LIMA1_20","LIMA","Y2020","Rural",39.835,35.5,"PR__LIMA.001"
"PR__LIMA.002","LIMA2_20","LIMA","Y2020","Rural",37.3883,34.1,"PR__LIMA.002"
"PR__LIMA.003","LIMA3_20","LIMA","Y2020","Rural",39.9323,35.8,"PR__LIMA.003"
"PR__LIMA.005","LIMA4_20","LIMA","Y2020","Rural",41.6789,36.5,"PR__LIMA.005"
"PR__LIMA.007","LIMA5_20","LIMA","Y2020","Rural",45.4156,38,"PR__LIMA.007"
"PR__LIMA.008","LIMA6_20","LIMA","Y2020","Rural",47.5292,43,"PR__LIMA.008"
"PR__LIMA.010","LIMA7_20","LIMA","Y2020","Rural",41.9298,35.5,"PR__LIMA.010"
"PR__LIMA.012","LIMA8_20","LIMA","Y2020","Rural",39.5424,33.1,"PR__LIMA.012"
"PR__LIMA.013","LIMA9_20","LIMA","Y2020","Rural",41.6065,35.3,"PR__LIMA.013"
"PR__LIMA.014","LIMA10_20","LIMA","Y2020","Rural",43.8634,40.2,"PR__LIMA.014"
"PR__LIMA.015","LIMA11_20","LIMA","Y2020","Rural",41.5907,37.9,"PR__LIMA.015"
"PR__LIMA.016","LIMA12_20","LIMA","Y2020","Rural",44.651,38.6,"PR__LIMA.016"
"PR__LIMA.017","LIMA13_20","LIMA","Y2020","Rural",40.5542,37.2,"PR__LIMA.017"
"PR__LIMA.018","LIMA14_20","LIMA","Y2020","Rural",43.8692,38.2,"PR__LIMA.018"
"PR__LIMA.020","LIMA15_20","LIMA","Y2020","Rural",44.0332,39.7,"PR__LIMA.020"
"SF__BE__.003","BE_NOISE","BATE","Y2020","Urban",64.0596,61.3,"SF__BE__.003"
"SF__BE__.004","BE_YS_GY","BATE","Y2020","Urban",53.0604,49.5,"SF__BE__.004"
"SF__BE__.008","BE2_20","BATE","Y2020","Urban",62.6284,54.3,"SF__BE__.008"
"SF__BE__.017","BW0_20","BATW","Y2020","Urban",55.8735,52.3,"SF__BE__.017"
"SF__BE__.020","BW1_20","BATW","Y2020","Urban",40.9616,37.5,"SF__BE__.020"
"SF__BE__.024","BW2_20","BATW","Y2020","Urban",40.8394,35.6,"SF__BE__.024"
"SF__BE__.029","BW3_20","BATW","Y2020","Urban",40.6006,36.7,"SF__BE__.029"
"SF__BE__.031","BW4_20","BATW","Y2020","Urban",34.2539,31.6,"SF__BE__.031"
"SF__BE__.033","BW5_20","BATW","Y2020","Urban",51.1808,39.4,"SF__BE__.033"
"SF__BE__.036","BW6_20","BATW","Y2020","Urban",45.302,39.7,"SF__BE__.036"
"SF__BE__.037","FS0_20","FWSC","Y2020","Urban",38.1885,36.1,"SF__BE__.037"
"SF__BE__.040","FS1_20","FWSC","Y2020","Urban",45.663,35,"SF__BE__.040"
"SF__BE__.043","FS_2songnoise_20","FWSC","Y2020","Urban",45.8716,37.5,"SF__BE__.043"
"SF__BE__.046","FS2_20","FWSC","Y2020","Urban",48.5463,36.8,"SF__BE__.046"
"SF__BE__.047","FS_CornerFSnoise","FWSC","Y2020","Urban",43.5727,38.9,"SF__BE__.047"
"SF__BE__.048","FS3_20","FWSC","Y2020","Urban",48.4569,38.6,"SF__BE__.048"
"SF__BE__.052","FS4_20","FWSC","Y2020","Urban",50.187,41.8,"SF__BE__.052"
"SF__BE__.053","BW7_20","BATW","Y2020","Urban",40.2121,37.2,"SF__BE__.053"
"SF__BE__.057","BW8_20","BATW","Y2020","Urban",41.5148,36.2,"SF__BE__.057"
"SF__BE__.060","BE4_20","BATE","Y2020","Urban",58.2809,55.2,"SF__BE__.060"
"SF__BE__.064","BE3_20","BATE","Y2020","Urban",52.8424,46.8,"SF__BE__.064"
"SF__BE__.067","BE5_20","BATE","Y2020","Urban",57.026,54.7,"SF__BE__.067"
"SF__BE__.069","BE6_20","BATE","Y2020","Urban",47.2742,45.4,"SF__BE__.069"
"SF__BE__.075","BE7_20","BATE","Y2020","Urban",54.0549,50.5,"SF__BE__.075"
"SF__BE__.076","BE8_20","BATE","Y2020","Urban",52.2101,49.5,"SF__BE__.076"
"SF__BE__.077","BE_NOISE","BATE","Y2020","Urban",60.503,56.8,"SF__BE__.077"
"SF__BE__.078","BE_NOISE","BATE","Y2020","Urban",60.4396,58.3,"SF__BE__.078"
"SF__BE__.081","BE9_20","BATE","Y2020","Urban",54.7811,50.3,"SF__BE__.081"
"SF__BE__.085","BE10_20","BATE","Y2020","Urban",49.0945,42.6,"SF__BE__.085"
"SF__BE__.086","BE11_20","BATE","Y2020","Urban",47.5938,45.6,"SF__BE__.086"
"SF__BE__.088","FS5_20","FWSC","Y2020","Urban",52.5236,49,"SF__BE__.088"
"SF__BE__.090","FS6_20","FWSC","Y2020","Urban",54.288,48.1,"SF__BE__.090"
"SF__BE__.093","FS7_20","FWSC","Y2020","Urban",50.2112,45.3,"SF__BE__.093"
"SF__BE__.094","FS8_20","FWSC","Y2020","Urban",49.2827,43,"SF__BE__.094"
"SF__BE__.096","FS9_20","FWSC","Y2020","Urban",50.3057,45.2,"SF__BE__.096"
"SF__BE__.097","FS_lb2016","FWSC","Y2020","Urban",46.8737,42.6,"SF__BE__.097"
"SF__BE__.098","FS_NOISE","FWSC","Y2020","Urban",53.1423,48.5,"SF__BE__.098"
"SF__BE__.099","FS10_20","FWSC","Y2020","Urban",55.5203,47.7,"SF__BE__.099"
"SF__BE__.101","FS12_20","FWSC","Y2020","Urban",44.9021,39.6,"SF__BE__.101"
"SF__BE__.102","FS13_20","FWSC","Y2020","Urban",42.7313,35.9,"SF__BE__.102"
