"","Bird","Location","year.val","Region","LAeq","LAF90","File.Name"
"831_Data.486","AB_S_KKW","ABLA","Y2016","Rural",46.5911,32.4,"831_Data.486"
"831_Data.410","AB_S_YOW","ABLA","Y2016","Rural",42.034,28.6,"831_Data.410"
"831_Data.475","AB_GS_WK","ABLA","Y2016","Rural",48.7327,33.1,"831_Data.475"
"831_Data.507","AB_GS_WK","ABLA","Y2016","Rural",48.8604,36.1,"831_Data.507"
"831_Data.528","AB_OWO_S","ABLA","Y2016","Rural",41.753,38.5,"831_Data.528"
"831_Data.510","ABLAblackberry_16","ABLA","Y2016","Rural",40.0875,35.5,"831_Data.510"
"831_Data.477","AB_OWO_S","ABLA","Y2016","Rural",40.7013,35.4,"831_Data.477"
"831_Data.412","AB_KS_YG","ABLA","Y2016","Rural",44.571,26.8,"831_Data.412"
"831_Data.471","AB_KS_YG","ABLA","Y2016","Rural",40.6632,33.8,"831_Data.471"
"831_Data.504","AB_KS_YG","ABLA","Y2016","Rural",40.1168,36.6,"831_Data.504"
"831_Data.346","BABE_MS_RY","BABE","Y2016","Urban",52.5151,39.3,"831_Data.346"
"831_Data.353","LD_RS_WW","LODU","Y2016","Urban",48.5797,43.9,"831_Data.353"
"831_Data.383","LD_RS_WW","LODU","Y2016","Urban",48.2816,39.5,"831_Data.383"
"831_Data.327","LD_RS_WW","LODU","Y2016","Urban",46.096,41.4,"831_Data.327"
"831_Data.355","LD_YS_GB","LODU","Y2016","Urban",56.3467,50.3,"831_Data.355"
"831_Data.385","LD_YS_GB","LODU","Y2016","Urban",58.446,49.9,"831_Data.385"
"831_Data.329","LD_YS_GB","LODU","Y2016","Urban",60.8521,49.3,"831_Data.329"
"831_Data.356","LD_YS_MM","LODU","Y2016","Urban",59.4919,55.9,"831_Data.356"
"831_Data.386","LD_YS_MM","LODU","Y2016","Urban",60.3016,54.3,"831_Data.386"
"831_Data.330","LD_YS_MM","LODU","Y2016","Urban",60.645,55,"831_Data.330"
"831_Data.354","MSWR_16","LODU","Y2016","Urban",51.0468,48.6,"831_Data.354"
"831_Data.384","MSWR_16","LODU","Y2016","Urban",45.9218,43.6,"831_Data.384"
"831_Data.328","MSWR_16","LODU","Y2016","Urban",48.2583,44.2,"831_Data.328"
"831_Data.351","LD_RG_YS","LODU","Y2016","Urban",49.3473,46.7,"831_Data.351"
"831_Data.381","LD_RG_YS","LODU","Y2016","Urban",45.8517,40.8,"831_Data.381"
"831_Data.325","LD_RG_YS","LODU","Y2016","Urban",49.571,44,"831_Data.325"
"831_Data.350","LD_S_R","LODU","Y2016","Urban",53.6096,46.1,"831_Data.350"
"831_Data.380","LD_S_R","LODU","Y2016","Urban",53.6405,42.3,"831_Data.380"
"831_Data.395","LD_S_RYR","LODU","Y2016","Urban",57.4077,52,"831_Data.395"
"831_Data.357","LD_S_WOB","LODU","Y2016","Urban",58.4078,44.6,"831_Data.357"
"831_Data.352","SWBW_16","LODU","Y2016","Urban",47.1107,43.9,"831_Data.352"
"831_Data.382","SWBW_16","LODU","Y2016","Urban",57.9699,43.3,"831_Data.382"
"831_Data.326","SWBW_16","LODU","Y2016","Urban",47.3808,43.6,"831_Data.326"
"831_Data.309","BABE2_16","BABE","Y2016","Urban",55.1913,49.9,"831_Data.309"
"831_Data.313","BE_OG_MS","BATE","Y2016","Urban",54.5752,50.3,"831_Data.313"
"831_Data.334","BE_OG_MS","BATE","Y2016","Urban",53.9232,51,"831_Data.334"
"831_Data.319","BW_YS_YW","FWSC","Y2016","Urban",56.4547,43.8,"831_Data.319"
"831_Data.297","BW19_16","BATW","Y2016","Urban",50.8392,41.3,"831_Data.297"
